,yearID,teamID,G,W,WSWin,R,H,SB,ER,E
879,1931,BOS,153,62,N,625,1409,42.0,698,187
880,1931,BRO,153,79,N,681,1464,45.0,579,187
881,1931,BSN,156,64,N,533,1367,46.0,598,167
883,1931,CHN,156,84,N,828,1578,49.0,611,169
884,1931,CIN,154,58,N,592,1439,24.0,631,165
886,1931,DET,154,61,N,651,1456,117.0,706,221
887,1931,NY1,153,87,N,768,1554,83.0,499,159
888,1931,NYA,155,94,N,1067,1667,138.0,658,167
889,1931,PHA,153,107,N,858,1544,25.0,526,140
890,1931,PHI,155,66,N,684,1502,42.0,692,204
891,1931,PIT,155,75,N,636,1425,59.0,565,193
893,1931,SLN,154,101,Y,815,1554,114.0,531,160
894,1931,WS1,156,92,N,843,1588,72.0,582,142
896,1932,BRO,154,81,N,752,1538,61.0,654,182
897,1932,BSN,155,77,N,649,1460,36.0,555,152
899,1932,CHN,154,90,N,720,1519,48.0,535,173
900,1932,CIN,155,60,N,575,1429,35.0,587,178
901,1932,CLE,153,87,N,845,1544,52.0,630,189
902,1932,DET,153,76,N,799,1479,103.0,651,186
903,1932,NY1,154,72,N,755,1527,31.0,585,191
904,1932,NYA,156,107,Y,1002,1564,77.0,623,190
905,1932,PHA,154,94,N,981,1606,38.0,685,123
906,1932,PHI,154,78,N,844,1608,71.0,687,194
907,1932,PIT,154,86,N,701,1543,71.0,574,185
908,1932,SLA,154,63,N,736,1502,69.0,766,187
909,1932,SLN,156,72,N,684,1467,92.0,616,168
910,1932,WS1,154,93,N,840,1565,70.0,639,125
912,1933,BRO,157,65,N,617,1413,82.0,574,177
913,1933,BSN,156,83,N,552,1320,25.0,461,130
914,1933,CHA,151,67,N,683,1448,43.0,678,186
915,1933,CHN,154,86,N,646,1422,52.0,443,168
916,1933,CIN,153,58,N,496,1267,30.0,514,177
917,1933,CLE,151,75,N,654,1366,36.0,556,157
918,1933,DET,155,75,N,722,1479,68.0,614,178
919,1933,NY1,156,91,Y,636,1437,31.0,424,178
920,1933,NYA,152,91,N,927,1495,76.0,656,164
921,1933,PHA,152,79,N,875,1519,34.0,718,203
922,1933,PHI,152,60,N,607,1439,55.0,644,183
923,1933,PIT,154,87,N,667,1548,34.0,499,166
924,1933,SLA,153,55,N,669,1337,72.0,728,150
925,1933,SLN,154,82,N,687,1486,99.0,517,160
926,1933,WS1,153,99,N,850,1586,65.0,590,133
927,1934,BOS,153,76,N,820,1465,116.0,653,189
928,1934,BRO,153,71,N,748,1526,55.0,674,180
929,1934,BSN,152,78,N,683,1460,30.0,621,169
930,1934,CHA,153,53,N,704,1395,36.0,815,207
931,1934,CHN,152,86,N,705,1494,59.0,569,137
932,1934,CIN,152,52,N,590,1428,34.0,654,181
933,1934,CLE,154,85,N,814,1550,52.0,650,170
934,1934,DET,154,101,N,958,1644,125.0,618,156
935,1934,NY1,153,93,N,760,1485,19.0,486,179
936,1934,NYA,154,94,N,842,1494,71.0,577,160
937,1934,PHA,153,68,N,764,1491,57.0,744,196
939,1934,PIT,151,74,N,735,1541,44.0,620,145
940,1934,SLA,154,67,N,674,1417,43.0,674,187
941,1934,SLN,154,95,Y,799,1582,69.0,568,166
942,1934,WS1,155,66,N,729,1512,47.0,718,161
943,1935,BOS,154,78,N,718,1458,91.0,619,190
944,1935,BRO,154,70,N,711,1496,60.0,637,188
945,1935,BSN,153,38,N,575,1396,20.0,729,197
946,1935,CHA,153,74,N,738,1460,46.0,662,145
947,1935,CHN,154,100,N,847,1581,66.0,505,186
948,1935,CIN,154,68,N,646,1403,72.0,648,204
949,1935,CLE,156,82,N,776,1573,63.0,644,174
950,1935,DET,152,93,Y,919,1573,70.0,579,126
951,1935,NY1,156,91,N,770,1608,32.0,589,174
955,1935,PIT,153,86,N,743,1543,30.0,519,190
956,1935,SLA,155,65,N,718,1446,45.0,807,186
957,1935,SLN,154,96,N,829,1548,71.0,541,163
958,1935,WS1,154,67,N,823,1591,54.0,804,171
959,1936,BOS,155,74,N,775,1485,55.0,669,162
960,1936,BRO,156,67,N,662,1518,55.0,620,202
961,1936,BSN,157,71,N,631,1450,23.0,619,189
962,1936,CHA,153,81,N,920,1597,66.0,767,168
963,1936,CHN,154,87,N,755,1545,68.0,544,146
964,1936,CIN,154,74,N,722,1476,68.0,641,191
965,1936,CLE,157,80,N,921,1715,66.0,745,182
966,1936,DET,154,83,N,921,1638,73.0,756,154
967,1936,NY1,154,92,N,742,1529,31.0,532,168
968,1936,NYA,155,102,Y,1065,1676,77.0,649,163
969,1936,PHA,154,53,N,714,1443,59.0,913,208
971,1936,PIT,156,84,N,804,1596,37.0,603,199
972,1936,SLA,155,57,N,804,1502,62.0,935,188
973,1936,SLN,155,87,N,795,1554,69.0,694,154
974,1936,WS1,153,82,N,889,1601,104.0,684,182
975,1937,BOS,154,80,N,821,1506,79.0,680,175
976,1937,BRO,155,62,N,616,1401,69.0,625,216
977,1937,BSN,152,79,N,579,1265,45.0,486,157
978,1937,CHA,154,86,N,780,1478,70.0,626,174
979,1937,CHN,154,93,N,811,1537,71.0,609,151
980,1937,CIN,155,56,N,612,1329,53.0,595,208
981,1937,CLE,156,83,N,817,1499,78.0,665,157
982,1937,DET,155,89,N,935,1611,89.0,746,147
983,1937,NY1,152,95,N,732,1484,45.0,519,159
984,1937,NYA,157,102,Y,979,1554,60.0,566,169
985,1937,PHA,154,54,N,699,1398,95.0,719,198
986,1937,PHI,155,61,N,724,1482,66.0,770,184
987,1937,PIT,154,86,N,704,1550,32.0,540,181
988,1937,SLA,156,46,N,715,1573,30.0,909,174
989,1937,SLN,157,81,N,789,1543,78.0,616,164
990,1937,WS1,158,73,N,757,1559,61.0,711,170
991,1938,BOS,150,88,N,902,1566,55.0,652,187
992,1938,BRO,151,69,N,704,1322,66.0,602,157
993,1938,BSN,153,77,N,561,1311,49.0,521,173
995,1938,CHN,154,89,N,713,1435,49.0,523,135
996,1938,CIN,151,82,N,723,1495,19.0,548,169
997,1938,CLE,153,86,N,847,1506,83.0,692,152
998,1938,DET,155,84,N,862,1434,76.0,717,147
999,1938,NY1,152,83,N,705,1424,31.0,543,168
1000,1938,NYA,157,99,Y,966,1480,91.0,600,169
1001,1938,PHA,154,53,N,726,1410,65.0,806,204
1002,1938,PHI,151,45,N,550,1318,38.0,728,201
1003,1938,PIT,152,86,N,707,1511,47.0,530,163
1004,1938,SLA,156,55,N,755,1498,51.0,866,145
1005,1938,SLN,156,71,N,725,1542,55.0,591,199
1006,1938,WS1,152,75,N,814,1602,65.0,746,179
1007,1939,BOS,152,89,N,890,1543,42.0,684,179
1008,1939,BRO,157,84,N,708,1420,59.0,570,176
1009,1939,BSN,152,63,N,572,1395,41.0,560,181
1010,1939,CHA,155,85,N,755,1451,113.0,659,167
1011,1939,CHN,156,84,N,724,1407,61.0,588,186
1012,1939,CIN,156,97,N,767,1493,46.0,510,159
1013,1939,CLE,154,87,N,797,1490,72.0,618,180
1014,1939,DET,155,81,N,849,1487,88.0,652,198
1015,1939,NY1,151,77,N,703,1395,26.0,596,153
1016,1939,NYA,152,106,Y,967,1521,72.0,496,126
1017,1939,PHA,153,55,N,711,1438,60.0,863,210
1018,1939,PHI,152,45,N,553,1341,47.0,762,171
1019,1939,PIT,153,68,N,666,1453,44.0,624,168
1020,1939,SLA,156,43,N,733,1453,48.0,916,199
1021,1939,SLN,155,92,N,779,1601,44.0,552,177
1022,1939,WS1,153,65,N,702,1483,94.0,692,205
1023,1940,BOS,154,82,N,872,1566,55.0,749,173
1024,1940,BRO,156,88,N,697,1421,56.0,557,183
1025,1940,BSN,152,65,N,623,1366,48.0,658,183
1026,1940,CHA,155,82,N,735,1499,52.0,576,185
1027,1940,CHN,154,75,N,681,1441,63.0,548,199
1028,1940,CIN,155,100,Y,707,1427,72.0,477,117
1029,1940,CLE,155,89,N,710,1422,53.0,555,148
1030,1940,DET,155,90,N,888,1549,66.0,613,194
1031,1940,NY1,152,72,N,663,1423,45.0,573,139
1032,1940,NYA,155,88,N,817,1371,59.0,593,152
1034,1940,PHI,153,50,N,494,1225,25.0,663,181
1035,1940,PIT,156,78,N,809,1511,69.0,672,217
1036,1940,SLA,156,67,N,757,1423,51.0,781,158
1037,1940,SLN,156,84,N,747,1514,97.0,594,174
1038,1940,WS1,154,64,N,665,1453,94.0,688,192
1039,1941,BOS,155,84,N,865,1517,67.0,639,169
1040,1941,BRO,157,100,N,800,1494,36.0,496,162
1041,1941,BSN,156,62,N,592,1357,61.0,608,190
1042,1941,CHA,156,77,N,638,1376,91.0,554,180
1043,1941,CHN,155,70,N,666,1323,39.0,564,180
1044,1941,CIN,154,88,N,616,1288,68.0,488,150
1045,1941,CLE,155,75,N,677,1350,63.0,597,142
1046,1941,DET,155,75,N,686,1412,43.0,641,186
1047,1941,NY1,156,74,N,667,1401,36.0,609,160
1048,1941,NYA,156,101,Y,830,1464,51.0,548,165
1049,1941,PHA,154,64,N,713,1431,27.0,733,200
1050,1941,PHI,155,43,N,501,1277,65.0,686,186
1051,1941,PIT,156,81,N,690,1417,59.0,531,194
1052,1941,SLA,157,70,N,765,1440,50.0,728,151
1053,1941,SLN,155,97,N,734,1482,47.0,502,171
1054,1941,WS1,156,70,N,728,1502,79.0,671,188
1055,1942,BOS,152,93,N,761,1451,68.0,519,157
1056,1942,BRO,155,104,N,742,1398,81.0,441,138
1057,1942,BSN,150,59,N,515,1216,49.0,557,139
1059,1942,CHN,155,68,N,591,1360,63.0,560,169
1060,1942,CIN,154,76,N,527,1216,42.0,442,175
1061,1942,CLE,156,75,N,590,1344,69.0,559,163
1062,1942,DET,156,73,N,589,1313,39.0,487,193
1063,1942,NY1,154,85,N,675,1323,39.0,504,137
1064,1942,NYA,154,103,N,801,1429,69.0,445,142
1065,1942,PHA,154,55,N,549,1315,44.0,679,188
1066,1942,PHI,151,42,N,394,1174,37.0,614,193
1067,1942,PIT,151,66,N,585,1250,41.0,537,182
1068,1942,SLA,151,82,N,730,1354,37.0,544,167
1069,1942,SLN,156,106,Y,755,1454,71.0,399,169
1070,1942,WS1,151,62,N,653,1364,98.0,685,222
1071,1943,BOS,155,68,N,563,1314,86.0,547,153
1072,1943,BRO,153,81,N,716,1444,58.0,590,167
1073,1943,BSN,153,68,N,465,1213,56.0,504,178
1074,1943,CHA,155,82,N,573,1297,173.0,498,166
1075,1943,CHN,154,74,N,632,1380,53.0,510,167
1076,1943,CIN,155,87,N,608,1362,49.0,488,121
1077,1943,CLE,153,82,N,600,1344,47.0,492,157
1078,1943,DET,155,78,N,632,1401,40.0,470,177
1079,1943,NY1,156,55,N,558,1309,35.0,632,167
1080,1943,NYA,155,98,Y,669,1350,46.0,461,160
1081,1943,PHA,155,49,N,497,1219,55.0,627,162
1082,1943,PHI,157,64,N,571,1321,29.0,586,187
1083,1943,PIT,157,80,N,669,1401,64.0,480,170
1084,1943,SLA,153,72,N,596,1269,37.0,525,152
1085,1943,SLN,157,105,N,679,1515,40.0,407,151
1086,1943,WS1,153,84,N,666,1328,142.0,490,179
1087,1944,BOS,156,77,N,739,1456,60.0,592,172
1088,1944,BRO,155,63,N,690,1450,45.0,711,197
1089,1944,BSN,155,65,N,593,1299,37.0,566,182
1090,1944,CHA,154,71,N,543,1307,66.0,553,183
1091,1944,CHN,157,75,N,702,1425,53.0,558,185
1092,1944,CIN,155,89,N,573,1340,51.0,461,138
1093,1944,CLE,155,72,N,643,1458,48.0,575,164
1094,1944,DET,156,88,N,658,1405,61.0,481,190
1095,1944,NY1,155,67,N,682,1398,39.0,650,179
1096,1944,NYA,154,83,N,674,1410,91.0,524,156
1097,1944,PHA,155,72,N,525,1364,42.0,506,174
1098,1944,PHI,154,61,N,539,1331,32.0,564,177
1099,1944,PIT,158,90,N,744,1441,87.0,540,191
1100,1944,SLA,154,89,N,684,1328,44.0,492,171
1101,1944,SLN,157,105,Y,772,1507,37.0,423,112
1102,1944,WS1,154,64,N,592,1386,127.0,536,218
1103,1945,BOS,157,71,N,599,1393,72.0,587,168
1105,1945,BSN,154,67,N,721,1453,82.0,624,193
1106,1945,CHA,150,71,N,596,1330,78.0,545,180
1107,1945,CHN,155,98,N,735,1465,69.0,452,119
1108,1945,CIN,154,61,N,536,1317,71.0,607,146
1110,1945,DET,155,88,Y,633,1345,60.0,463,158
1111,1945,NY1,154,78,N,668,1439,38.0,620,166
1112,1945,NYA,152,81,N,676,1343,64.0,519,175
1113,1945,PHA,153,52,N,494,1297,25.0,555,152
1115,1945,PIT,155,82,N,753,1425,81.0,579,178
1116,1945,SLA,154,81,N,597,1302,25.0,482,143
1117,1945,SLN,155,95,N,756,1498,55.0,507,136
1118,1945,WS1,156,87,N,622,1375,110.0,458,183
1119,1946,BOS,156,104,N,792,1441,45.0,524,139
1120,1946,BRO,157,96,N,701,1376,100.0,481,174
1121,1946,BSN,154,81,N,630,1377,60.0,510,169
1122,1946,CHA,155,74,N,562,1364,78.0,479,173
1123,1946,CHN,155,82,N,626,1344,43.0,501,146
1124,1946,CIN,156,67,N,523,1262,82.0,484,152
1125,1946,CLE,156,68,N,537,1285,57.0,558,147
1126,1946,DET,155,92,N,704,1373,65.0,502,155
1127,1946,NY1,154,61,N,612,1326,46.0,589,159
1128,1946,NYA,154,87,N,684,1275,48.0,473,147
1129,1946,PHA,155,49,N,529,1317,39.0,582,167
1130,1946,PHI,155,69,N,560,1351,41.0,607,147
1131,1946,PIT,155,63,N,552,1300,48.0,566,184
1132,1946,SLA,156,66,N,621,1350,23.0,607,159
1133,1946,SLN,156,98,Y,712,1426,58.0,467,123
1134,1946,WS1,155,76,N,608,1388,51.0,580,211
1135,1947,BOS,157,83,N,720,1412,41.0,589,137
1136,1947,BRO,155,94,N,774,1428,88.0,584,129
1137,1947,BSN,154,86,N,701,1444,58.0,548,153
1138,1947,CHA,155,70,N,553,1350,91.0,563,155
1139,1947,CHN,155,69,N,567,1373,22.0,614,150
1140,1947,CIN,154,73,N,681,1372,46.0,669,136
1141,1947,CLE,157,80,N,687,1392,29.0,536,104
1142,1947,DET,158,85,N,714,1363,52.0,555,155
